"","Race","Region","EDUC","Gender"
"1845","White","West","Bachelors","Female"
"1846","Other","South","Secondary","Male"
"1847","White","South","Primary","Female"
"1848","White","Midwest","Masters","Female"
"1849","White","South","Professional","Male"
"1850","White","Midwest","Secondary","Male"
"1851","White","West","Masters","Female"
"1852","White","South","Secondary","Male"
"1853","Hispanic","South","Bachelors","Female"
"1854","White","West","Masters","Male"
"1855","Hispanic","Midwest","Secondary","Male"
"1856","Hispanic","South","Professional","Male"
"1857","White","West","Bachelors","Female"
"1858","White","Midwest","Professional","Female"
"1859","Black","South","Secondary","Female"
"1860","White","South","Professional","Female"
"1861","White","Midwest","Secondary","Male"
"1862","White","Midwest","Masters","Female"
"1863","Black","South","Secondary","Female"
"1864","Hispanic","South","Secondary","Female"
"1865","White","South","Secondary","Female"
"1866","White","South","Masters","Female"
"1867","White","South","Bachelors","Male"
"1868","White","Midwest","Secondary","Female"
"1869","White","West","Masters","Male"
"1870","White","Midwest","Secondary","Female"
"1871","White","Midwest","Bachelors","Male"
"1872","White","South","Secondary","Female"
"1873","White","Midwest","Secondary","Female"
"1874","White","West","Masters","Male"
"1875","Black","South","Secondary","Female"
"1876","Hispanic","West","Secondary","Female"
"1877","White","Midwest","Masters","Female"
"1878","White","Northeast","Secondary","Female"
"1879","White","South","Secondary","Male"
"1880","White","South","Primary","Female"
"1881","Asian/Pacific Islander","Northeast","Professional","Female"
"1882","White","South","Secondary","Male"
"1883","White","South","Professional","Female"
"1884","Black","South","Primary","Female"
"1885","White","Midwest","Masters","Female"
"1886","White","West","Bachelors","Male"
"1887","White","South","Secondary","Female"
"1888","White","Northeast","Secondary","Male"
"1889","White","Midwest","Secondary","Male"
"1890","Other","Midwest","Secondary","Male"
"1891","Black","South","Secondary","Female"
"1892","Other","Northeast","Primary","Male"
"1893","White","Midwest","Secondary","Female"
"1894","Black","Northeast","Secondary","Female"
"1895","White","Midwest","Masters","Male"
"1896","White","West","Masters","Male"
"1897","White","South","Secondary","Female"
"1898","White","South","Secondary","Male"
"1899","White","South","Professional","Male"
"1900","White","South","Secondary","Female"
"1901","White","Northeast","Bachelors","Female"
"1902","White","West","Bachelors","Male"
"1903","White","South","Bachelors","Female"
"1904","White","Midwest","Secondary","Female"
"1905","White","Midwest","Masters","Female"
"1906","White","Midwest","Secondary","Female"
"1907","Hispanic","Northeast","Secondary","Female"
"1908","Asian/Pacific Islander","West","Secondary","Female"
"1909","White","Midwest","Bachelors","Male"
"1910","White","South","Secondary","Female"
"1911","White","South","Primary","Female"
"1912","White","Midwest","Bachelors","Female"
"1913","White","South","Secondary","Female"
"1914","White","South","Professional","Female"
"1915","White","Midwest","Secondary","Male"
"1916","White","Midwest","Bachelors","Female"
"1917","Black","West","Professional","Female"
"1918","White","South","Bachelors","Male"
"1919","Other","South","Secondary","Male"
"1920","Black","West","Secondary","Male"
"1921","White","Midwest","Secondary","Female"
"1922","White","South","Bachelors","Female"
"1923","White","West","Masters","Male"
"1924","White","Midwest","Secondary","Female"
"1925","White","South","Professional","Male"
"1926","White","South","Bachelors","Male"
"1927","Other","South","Secondary","Male"
"1928","White","Midwest","Secondary","Male"
"1929","Asian/Pacific Islander","West","Bachelors","Male"
"1930","White","Midwest","Secondary","Female"
"1931","Asian/Pacific Islander","Midwest","Primary","Male"
"1932","White","Midwest","Secondary","Female"
"1933","Hispanic","West","Bachelors","Female"
"1934","White","Midwest","Masters","Female"
"1935","White","Midwest","Secondary","Female"
"1936","White","South","Secondary","Male"
"1937","White","South","Masters","Female"
"1938","White","South","Secondary","Female"
"1939","White","Midwest","Bachelors","Male"
"1940","White","Midwest","Professional","Female"
"1941","White","Midwest","Secondary","Female"
"1942","White","West","Secondary","Female"
"1943","White","West","Bachelors","Female"
"1944","White","Midwest","Secondary","Male"
"1945","Black","South","Secondary","Male"
"1946","Hispanic","West","Professional","Female"
"1947","White","South","Secondary","Female"
"1948","Black","South","Bachelors","Female"
"1949","Hispanic","Midwest","Primary","Female"
"1950","White","South","Secondary","Male"
"1951","White","South","Secondary","Female"
"1952","Black","South","Secondary","Male"
"1953","Hispanic","West","Secondary","Female"
"1954","White","South","Bachelors","Male"
"1955","Black","South","Professional","Female"
"1956","Hispanic","Northeast","Primary","Male"
"1957","White","Midwest","Secondary","Female"
"1958","White","South","Secondary","Female"
"1959","White","South","Secondary","Female"
"1960","White","South","Secondary","Female"
"1961","White","Midwest","Bachelors","Female"
"1962","Hispanic","Midwest","Secondary","Male"
"1963","White","South","Secondary","Female"
"1964","Hispanic","West","Secondary","Female"
"1965","White","South","Secondary","Female"
"1966","White","Midwest","Masters","Male"
"1967","White","South","Secondary","Female"
"1968","White","South","Primary","Male"
"1969","White","West","Professional","Female"
"1970",NA,"South","Professional","Female"
"1971","Black","Midwest","Secondary","Male"
"1972","White","Midwest","Secondary","Female"
"1973","Other","Midwest","Secondary","Female"
"1974","Black","Midwest","Primary","Male"
"1975","Hispanic","West","Secondary","Female"
"1976","Hispanic","South","Professional","Male"
"1977","White","Midwest","Secondary","Female"
"1978","Hispanic","South","Primary","Male"
"1979","White","Midwest","Primary","Female"
