"","group","Q","U","B","T","LCL","UCL","SE","Race","Gender","Education","Gender_Education"
"49","White Men Associates",77302.0783994736,7338389.76910792,1693993.72036104,9201782.86150507,71356.5280430509,83247.6287558962,3033.44405939933,"White","Men","Associates","Men Associates"
"50","White Men Bachelors",101313.147880207,6365906.90156941,1584795.19178282,8109181.61253052,95731.7294150947,106894.566345319,2847.66248220018,"White","Men","Bachelors","Men Bachelors"
"51","White Men Masters",125402.480706715,9427296.60906773,4126951.39405987,13966943.1425336,118077.495466023,132727.465947407,3737.23736770005,"White","Men","Masters","Men Masters"
"52","White Men PhD",118331.547879513,59265941.7724968,10454534.8617559,70765930.1204283,101843.5402027,134819.555556325,8412.2488147004,"White","Men","PhD","Men PhD"
"53","White Men Primary",52599.2452033154,10129473.1611648,5990598.10759215,16719131.0795161,44584.9945237404,60613.4958828905,4088.90340794645,"White","Men","Primary","Men Primary"
"54","White Men Secondary",65946.0975277605,5245208.80089587,1759103.19202589,7180222.31212435,60694.093906831,71198.1011486901,2679.59368414772,"White","Men","Secondary","Men Secondary"
"55","White Women Associates",69898.8408636714,6956241.91648353,1326478.70082046,8415368.48738604,64213.0269746014,75584.6547527415,2900.92545360718,"White","Women","Associates","Women Associates"
"56","White Women Bachelors",93909.910344405,6478042.22574009,3582956.8042749,10419294.7104425,87583.239611734,100236.581077076,3227.89323095459,"White","Women","Bachelors","Women Bachelors"
"57","White Women Masters",117999.243170913,8955267.18294678,4480810.05377183,13884158.2420958,110695.998528781,125302.487813045,3726.14522557774,"White","Women","Masters","Women Masters"
"58","White Women PhD",110928.31034371,60143316.1678881,11126130.9730587,72382060.2382527,94253.0915262175,127603.529161203,8507.76470280253,"White","Women","PhD","Women PhD"
"59","White Women Primary",45196.0076675133,10234470.6212514,4607833.7450194,15303087.7407727,37528.6520695935,52863.3632654331,3911.91612138767,"White","Women","Primary","Women Primary"
"60","White Women Secondary",58542.8599919584,4978140.39696912,2927518.81780347,8198411.09655293,52930.8179332673,64154.9020506495,2863.28676463831,"White","Women","Secondary","Women Secondary"
